Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11917068_1	(1.0, 5.357811914574747)	(2.0, 1.5829898838516296)	(3.0, 1.0537654552266766)	(4.0, 0.6556762832521543)	(5.0, 0.37467216185837393)	(6.0, 0.2810041213937804)	(7.0, 0.2950543274634695)	(8.0, 0.26227051330086176)	(9.0, 0.21075309104533532)	('>10', 3.3017984263769202)	('>50', 2.4634694642188086)	('>100', 12.453165979767704)	('>500', 5.957287373548145)	('>1k', 65.75028100412139)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917068_2	(1.0, 12.35481453727988)	(2.0, 2.6227051330086173)	(3.0, 1.264518546272012)	(4.0, 0.6369426751592357)	(5.0, 0.35125515174222555)	(6.0, 0.47770700636942676)	(7.0, 0.2950543274634695)	(8.0, 0.22480329711502436)	(9.0, 0.21075309104533532)	('>10', 7.858748594979394)	('>50', 5.02529037092544)	('>100', 56.6597976770326)	('>500', 12.017609591607343)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917069_1	(1.0, 5.068917299240911)	(2.0, 1.7179384738314023)	(3.0, 0.7940471434278865)	(4.0, 0.5992808629644426)	(5.0, 0.5992808629644426)	(6.0, 0.3595685177786656)	(7.0, 0.5942868557730723)	(8.0, 0.3995205753096284)	(9.0, 0.3595685177786656)	('>10', 5.20375549340791)	('>50', 2.6418298042349178)	('>100', 19.231921693967237)	('>500', 0.0)	('>1k', 36.69596484218937)	('>5k', 25.734119057131444)	('>10k+', 0.0)
SRR11917069_2	(1.0, 12.904514582500997)	(2.0, 3.296044746304435)	(3.0, 1.9926088693567718)	(4.0, 1.7379145025968836)	(5.0, 1.0986815821014784)	(6.0, 0.6891729924091091)	(7.0, 1.0836995605273672)	(8.0, 0.8789452656811825)	(9.0, 0.7191370355573312)	('>10', 12.425089892129444)	('>50', 3.615661206552138)	('>100', 29.28985217738714)	('>500', 22.253296044746303)	('>1k', 8.01538154214942)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917070_1	(1.0, 3.5376100906466617)	(2.0, 1.1473330023718904)	(3.0, 0.9211760163274312)	(4.0, 0.7501792707816206)	(5.0, 0.6343427657344586)	(6.0, 0.4854101163881075)	(7.0, 0.501958188537702)	(8.0, 0.38244433412396345)	(9.0, 0.2647691543935132)	('>10', 5.0103885119605795)	('>50', 1.0535605935241876)	('>100', 4.274918638645264)	('>500', 1.2006545681872507)	('>1k', 29.689080111055947)	('>5k', 27.68492470627172)	('>10k+', 22.4612499310497)
SRR11917070_2	(1.0, 9.64201003916377)	(2.0, 2.728593229999816)	(3.0, 1.8589001048044569)	(4.0, 1.3679739643664848)	(5.0, 0.7814367403975215)	(6.0, 0.5736665011859452)	(7.0, 0.360380237924504)	(8.0, 0.51482891132072)	(9.0, 0.29786529869270234)	('>10', 2.5851766047033298)	('>50', 2.3424715465092762)	('>100', 11.837387611009984)	('>500', 23.011013661352898)	('>1k', 42.09829554856859)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917071_1	(1.0, 5.247387268873785)	(2.0, 1.8417013812760359)	(3.0, 0.8550756413067309)	(4.0, 0.32156690784184755)	(5.0, 0.43850032887524665)	(6.0, 0.30695023021267265)	(7.0, 0.3581086019147848)	(8.0, 0.23386684206679823)	(9.0, 0.065775049331287)	('>10', 0.8185339472337938)	('>50', 0.723525542644157)	('>100', 9.106190162975954)	('>500', 26.024994518745885)	('>1k', 53.65782357670101)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917071_2	(1.0, 14.463202514068552)	(2.0, 2.1925016443762333)	(3.0, 1.0962508221881166)	(4.0, 0.4092669736168969)	(5.0, 0.18270847036468613)	(6.0, 0.08770006577504934)	(7.0, 0.05115837170211211)	(8.0, 0.0)	(9.0, 0.131550098662574)	('>10', 4.677336841335964)	('>50', 12.621501132792517)	('>100', 59.17561938171454)	('>500', 4.911203683402762)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917072_1	(1.0, 4.335565738456116)	(2.0, 1.4804370814240395)	(3.0, 1.2689460697920338)	(4.0, 1.0071000553905032)	(5.0, 1.0322775567752656)	(6.0, 0.4531950249257264)	(7.0, 0.6344730348960169)	(8.0, 0.684828037665542)	(9.0, 0.5891535324034444)	('>10', 7.8604159323228755)	('>50', 2.52278563875321)	('>100', 0.0)	('>500', 0.0)	('>1k', 51.810262349564425)	('>5k', 26.320559947630795)	('>10k+', 0.0)
SRR11917072_2	(1.0, 12.991590714537491)	(2.0, 3.7967672088221964)	(3.0, 1.858099602195478)	(4.0, 1.5509340853013747)	(5.0, 1.4854725817009922)	(6.0, 1.0272420564983131)	(7.0, 0.6344730348960169)	(8.0, 0.24170401329372074)	(9.0, 0.5438340299108717)	('>10', 5.151316783322423)	('>50', 0.3826980210483912)	('>100', 24.407069842388843)	('>500', 30.127398157006898)	('>1k', 15.801399869076993)	('>5k', 0.0)	('>10k+', 0.0)
