.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917146_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917147_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917147_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917148_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917148_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917149_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917149_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917150_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917150_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917151_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917151_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917152_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917152_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917153_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917153_2	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917154_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917154_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917155_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917155_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917156_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917156_2	1	0.25	0.5	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917157_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917157_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917158_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917158_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917159_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917159_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917160_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917160_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917161_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917161_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917162_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917162_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917163_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917163_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917164_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917164_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917165_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917165_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917166_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917166_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917167_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917167_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917168_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917168_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917169_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917169_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917170_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917170_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917171_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917171_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917172_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917172_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917173_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917173_2	1	1	0.5	0.25	0.25	1	0.5	1	0.25	1
SRR11917174_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917174_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917175_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917175_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917176_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917176_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917177_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917177_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917178_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917178_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917179_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917179_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917180_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917180_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917181_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917181_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917182_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917182_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917183_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917183_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917184_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917184_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917185_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917185_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917186_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917186_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917187_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
