names,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Experiment,isolate,create_date,sample_name,block,
SRR11917168,AMPLICON,594,7291619,SAMN15058014,5344422,SRX8463698,261slVE2017,2020-06-03T12:09:00Z,1255,6,
SRR11917169,AMPLICON,589,25470208,SAMN15058013,17741097,SRX8463697,806apGI2017,2020-06-03T12:09:00Z,1255,5,
SRR11917170,AMPLICON,592,13157262,SAMN15058012,9305283,SRX8463696,418usKS2017,2020-06-03T12:09:00Z,1255,3,
SRR11917171,AMPLICON,592,6953058,SAMN15058011,4950030,SRX8463695,13piTE2017,2020-06-03T12:09:00Z,1255,2,
SRR11917172,AMPLICON,587,5129247,SAMN15058010,2806603,SRX8463694,96wjMX2017,2020-06-03T12:09:00Z,1255,8,
SRR11917173,AMPLICON,591,8867,SAMN15058009,87289,SRX8463693,954ozEA2017,2020-06-03T12:09:00Z,1255,7,
SRR11917174,AMPLICON,572,14524435,SAMN15057865,10410429,SRX8463692,165ztOU2017,2020-06-03T12:09:00Z,1111,5,
SRR11917175,AMPLICON,581,3383323,SAMN15057893,1932915,SRX8463691,625fvIP2017,2020-06-03T12:09:00Z,1127,1,
SRR11917176,AMPLICON,592,42821476,SAMN15057892,30094968,SRX8463690,717dmOZ2017,2020-06-03T12:09:00Z,1119,9,
SRR11917177,AMPLICON,589,10924430,SAMN15057891,7773107,SRX8463689,658exMX2017,2020-06-03T12:09:00Z,1119,6,
SRR11917178,AMPLICON,589,16166769,SAMN15057890,11273633,SRX8463688,654foRA2017,2020-06-03T12:09:00Z,1119,5,
SRR11917179,AMPLICON,593,7877838,SAMN15057889,5594856,SRX8463687,897yhEH2017,2020-06-03T12:09:00Z,1119,3,
SRR11917180,AMPLICON,589,1034785,SAMN15057853,653679,SRX8463686,72efLP2017,2020-06-03T12:09:00Z,1105,9,
SRR11917181,AMPLICON,593,10673436,SAMN15057888,7568517,SRX8463685,971jzKT2017,2020-06-03T12:09:00Z,1119,2,
SRR11917182,AMPLICON,582,25051,SAMN15057887,98235,SRX8463684,881qhTT2017,2020-06-03T12:09:00Z,1119,8,
SRR11917183,AMPLICON,580,181019,SAMN15057886,178194,SRX8463683,231smEC2017,2020-06-03T12:09:00Z,1119,8,
SRR11917184,AMPLICON,525,11818246,SAMN15057885,6222874,SRX8463682,946xsBU2017,2020-06-03T12:09:00Z,1119,4,
SRR11917185,AMPLICON,576,1297476,SAMN15057884,776738,SRX8463681,541pgYJ2017,2020-06-03T12:09:00Z,1119,3,
SRR11917186,AMPLICON,564,6340344,SAMN15057883,3593690,SRX8463680,92zcHQ2017,2020-06-03T12:09:00Z,1119,2,
